label,alpha_id,sharpe,fitness,turnover,returns,drawdown,margin,checks_passed,checks_pending,checks_total,submittable,decay,neutralization,truncation,universe,link,expression
news_mom_rev_20,d5ELLqOj,1.17,0.5,0.1808,0.0333,0.0285,0.000369,5,1,8,False,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/d5ELLqOj,"news = vec_avg(nws12_afterhsz_sl); signal = ts_sum(news, 20); rank(signal) > 0.5 ? 1 : -rank(ts_delta(close, 1))"
news_mom_rev_mean20,npZVVVlw,1.24,0.55,0.1813,0.0351,0.0272,0.000387,5,1,8,False,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/npZVVVlw,"news = vec_avg(nws12_afterhsz_sl); signal = ts_mean(news, 20); rank(signal) > 0.5 ? 1 : -rank(ts_delta(close, 1))"
news_mom_rev_60,1YaEE5Yz,1.79,1.04,0.1214,0.0421,0.0336,0.000693,7,1,8,True,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/1YaEE5Yz,"news = vec_avg(nws12_afterhsz_sl); signal = ts_sum(news, 60); rank(signal) > 0.5 ? 1 : -rank(ts_delta(close, 1))"
news_mom_rev_delta2,N1g995lg,1.19,0.53,0.1779,0.0353,0.0285,0.000397,5,1,8,False,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/N1g995lg,"news = vec_avg(nws12_afterhsz_sl); signal = ts_sum(news, 20); rank(signal) > 0.5 ? 1 : -rank(ts_delta(close, 2))"
news_balanced,bloEEoLR,1.25,0.55,0.1871,0.0362,0.0275,0.000387,6,1,8,False,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/bloEEoLR,"news = vec_avg(nws12_afterhsz_sl); signal = ts_sum(news, 20); rank(signal) > 0.5 ? rank(signal) : -rank(ts_delta(close, 1))"
news_backfill_sum,O0baaoNY,1.19,0.52,0.1644,0.0319,0.027,0.000388,5,1,8,False,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/O0baaoNY,"news = ts_backfill(vec_avg(nws12_afterhsz_sl), 5); signal = ts_sum(news, 20); rank(signal) > 0.5 ? 1 : -rank(ts_delta(close, 1))"
news_group_cond,A1gKKLxd,1.68,0.9,0.1476,0.0425,0.0304,0.000576,6,1,8,False,5,MARKET,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/A1gKKLxd,"news = ts_backfill(vec_avg(nws12_afterhsz_sl), 5); signal = group_zscore(ts_sum(news, 20), subindustry); signal > 0 ? 1 : -rank(ts_delta(close, 1))"
news_strict_07,vReggkVb,1.33,0.59,0.1932,0.0378,0.0267,0.000392,6,1,8,False,5,SUBINDUSTRY,0.08,TOP3000,https://platform.worldquantbrain.com/alpha/vReggkVb,"news = vec_avg(nws12_afterhsz_sl); signal = ts_sum(news, 20); rank(signal) > 0.7 ? 1 : -rank(ts_delta(close, 1))"
